W,L,run id,goodput,retransmissions,avg RTT,utilization,buffer events
2,128,0,0.0175394,236125,0.109468,0.002822,1983750
2,128,3,0.0175604,235575,0.109337,0.00282398,1983200
2,128,2,0.0175692,235325,0.109282,0.00282475,1982948
2,128,1,0.0175427,236028,0.109447,0.00282229,1983653
2,128,4,0.0175469,235929,0.109421,0.00282271,1983554
2,128,6,0.0175581,235622,0.109351,0.00282373,1983247
2,128,5,0.0175356,236225,0.109491,0.00282164,1983849
2,256,0,0.0249559,216125,0.159,0.00425785,1061748
2,256,2,0.0249898,215655,0.158784,0.00426049,1061277
2,256,3,0.0249817,215772,0.158836,0.0042599,1061394
2,256,1,0.025034,215091,0.158504,0.00426425,1060713
2,128,7,0.0175619,235517,0.109328,0.00282408,1983142
2,128,9,0.0174913,237412,0.109769,0.00281753,1985037
2,128,8,0.0175572,235641,0.109357,0.00282364,1983266
2,256,7,0.024919,216588,0.159232,0.00425462,1062206
2,256,9,0.0249271,216495,0.159184,0.0042554,1062118
2,256,8,0.0248899,216981,0.159419,0.00425228,1062602
2,256,4,0.024979,215803,0.158854,0.00425963,1061426
2,512,0,0.0279405,237855,0.28861,0.00636857,653952
2,256,6,0.0250184,215293,0.158602,0.00426295,1060914
2,256,5,0.0248998,216855,0.159359,0.00425312,1062478
2,512,4,0.028035,236884,0.28764,0.0063762,652982
2,512,6,0.0281379,235826,0.286586,0.00638437,651921
2,512,5,0.0280774,236432,0.287195,0.00637936,652522
2,512,3,0.0281259,235958,0.28671,0.00638356,652056
2,512,1,0.0280309,236933,0.28768,0.00637597,653030
2,512,7,0.0280997,236197,0.286974,0.00638103,652292
2,512,2,0.0281643,235539,0.286304,0.00638623,651629
2,512,8,0.028138,235826,0.286578,0.00638441,651920
2,512,9,0.0279845,237416,0.288153,0.00637232,653511
2,1024,1,0.0224293,337759,0.724768,0.00988504,544167
2,1024,3,0.0223795,338605,0.726376,0.00988202,545007
2,1024,2,0.0224132,338046,0.725286,0.00988441,544454
2,1024,4,0.0221833,341874,0.732793,0.00986786,548279
2,1024,0,0.0224342,337673,0.72459,0.00988529,544078
2,1024,5,0.0224756,337009,0.723255,0.00988863,543410
2,1024,6,0.0223337,339349,0.727867,0.00987841,545758
2,1024,8,0.0223451,339168,0.727482,0.00987942,545577
2,1024,9,0.0223667,338810,0.726779,0.00988095,545208
2,1024,7,0.0224013,338220,0.725615,0.00988304,544616
2,2048,0,0.00984259,581045,3.31572,0.0170522,653428
2,2048,1,0.00976752,581123,3.34157,0.0170466,652946
2,2048,2,0.00978656,581108,3.33471,0.0170481,653069
2,2048,3,0.00973978,581154,3.351,0.0170447,652775
2,2048,6,0.00988122,581000,3.303,0.0170548,653663
2,2048,5,0.00986898,581014,3.30699,0.0170539,653585
2,2048,4,0.00978901,581100,3.33411,0.0170482,653083
2,2048,7,0.00979826,581087,3.33109,0.0170487,653136
2,2048,8,0.00983933,581050,3.31718,0.0170519,653401
2,2048,9,0.00977078,581118,3.34022,0.0170468,652967
2,4096,0,0.00114246,590672,57.1707,0.0325629,594869
2,4096,2,0.00120841,590637,54.0874,0.0325676,595074
2,4096,3,0.00116099,590659,56.3052,0.032564,594922
2,4096,1,0.00118607,590646,54.9613,0.032566,595009
4,128,0,0.0350424,236567,0.109581,0.00564039,1984189
4,128,7,0.0350744,236153,0.109481,0.00564344,1983774
2,4096,4,0.00112229,590681,58.1338,0.0325613,594804
2,4096,5,0.0011768,590651,55.3902,0.0325653,594978
4,256,4,0.0501755,215840,0.158164,0.00855686,1061459
4,128,1,0.035115,235616,0.109354,0.00564724,1983238
2,4096,6,0.00113592,590673,57.3928,0.0325624,594850
4,128,2,0.035075,236137,0.109479,0.00564345,1983759
4,512,1,0.0567789,235566,0.284043,0.0128754,651656
4,128,8,0.0350598,236334,0.109526,0.00564201,1983955
4,128,3,0.0351223,235508,0.10933,0.00564787,1983126
4,128,9,0.0350172,236912,0.10966,0.00563809,1984534
4,512,8,0.0567307,235819,0.284275,0.0128718,651907
