W,L,run id,goodput,retransmissions,avg RTT,utilization,buffer events
64,512,0,2.08149,237916,0.0544827,0.474506,654041
64,512,5,2.09192,235706,0.0544846,0.474521,651812
64,512,6,2.08745,236623,0.054484,0.474484,652743
64,512,2,2.08815,236571,0.0544846,0.474589,652695
64,512,3,2.08745,236602,0.0544854,0.474462,652754
64,512,4,2.08232,237706,0.0544856,0.474471,653845
64,512,1,2.08838,236300,0.0544842,0.474352,652450
64,512,7,2.08323,237598,0.0544834,0.474563,653735
64,512,9,2.08434,237207,0.0544842,0.474399,653351
64,512,8,2.08776,236592,0.0544839,0.474522,652717
